"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Bowmore Gold Reef","8.32","0.34","11","$$","SingleMalt-like","I","I","Scotland","Malt"
"Penderyn Peated","8.29","0.63","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"Springbank CV","8.29","0.4","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura Superstition","8.28","0.44","26","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Birnie Moss","8.25","0.34","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 1 Dubhe","8.24","0.42","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Bowmore Small Batch","8.22","0.53","14","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenrothes Peated Cask Reserve","8.22","0.65","4","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Connemara Peated Single Malt","8.19","0.29","20","$$$","SingleMalt-like","I","I","Ireland","Malt"
"St George's Chapter 9 (peated)","8.18","0.51","5","$$$","SingleMalt-like","I","I","England","Malt"
"Bruichladdich 8yo Laddie Eight","8.17","0.66","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Einar","8.14","0.58","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.10","0.59","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","8.04","0.58","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura 10yo Origin","7.95","0.36","21","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenfiddich 12yo Caoran Reserve","7.84","0.50","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Legend","7.62","0.64","11","$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 10yo Tokaji Finish","7.43","1.06","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Brora 35yo","9.44","0.30","13","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.40","0.28","20","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 23yo Twenty Something","9.31","0.18","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.20","0.38","30","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 21yo","9.14","0.25","14","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 21yo","9.14","0.38","13","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 9.3","9.12","0.21","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.12","0.22","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.11","0.36","34","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.09","0.19","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.09","0.18","29","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2014","9.08","0.32","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Cask Strength","9.07","0.30","18","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg 19yo Traigh Bhan","9.07","0.24","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.07","0.33","28","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.3","9.07","0.19","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.05","0.19","17","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #4668 (2017)","9.04","0.23","3","$$$$","SingleMalt-like","J","J","India","Malt"
"Smogen 8yo (4,8-10/2011)","9.04","0.31","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Ardbeg Ardbog","9.03","0.40","25","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.03","0.34","8","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","9.03","0.50","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.2","9.03","0.21","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 2008 Vintage","9.03","0.17","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.03","0.27","25","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box No Name","9.02","0.30","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow 18yo","9.02","0.30","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10 (Second Edition)","9.01","0.26","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","9.01","0.28","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.01","0.25","25","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Cutter","9.00","0.46","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.4","9.00","0.09","3","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box No Name (all editions)","9.00","0.30","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2014 - 10th Anniversary","8.99","0.29","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2019 Triple Wood Cask Strength","8.99","0.19","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ichiro's Malt Chichibu The Peated","8.98","0.36","11","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Kilchoman 2009 Vintage","8.97","0.11","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Original Cask Strength","8.97","0.40","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","8.97","0.20","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smogen Single Cask (all editions)","8.97","0.1","5","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Smogen Single Cask 4yo 7/2011","8.97","0.2","4","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Ardbeg 17yo","8.96","0.34","8","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2013)","8.95","0.11","3","$$$$","SingleMalt-like","J","J","India","Malt"
"Kilchoman 2007 Vintage","8.95","0.30","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10","8.93","0.35","6","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2008 Reserve Edition","8.93","0.19","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo Cask Strength (all batches)","8.93","0.58","29","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Box (High Coast) The Festival 2014","8.92","0.10","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Amrut 100 Peated","8.89","0.33","7","$$$$","SingleMalt-like","J","J","India","Malt"
"AnCnoc Rutter","8.89","0.33","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 10yo","8.89","0.35","30","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Brora 21yo","8.88","0.42","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.2","8.88","0.47","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Dark Cove","8.87","0.36","23","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Grooves","8.87","0.25","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.1","8.86","0.14","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box No Name No. 2","8.86","0.17","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10.1","8.85","0.22","3","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Monster 2004","8.85","0.35","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 8yo","8.85","0.25","27","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2016 Madeira","8.85","0.41","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.3","8.83","0.61","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig An Cuan Mor","8.83","0.23","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2018 Fino","8.83","0.23","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Wemyss Malts Kiln Embers","8.83","0.17","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","8.82","0.38","20","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow CV","8.81","0.34","18","$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Dunder","8.80","0.29","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.80","0.30","21","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Game of Thrones House Lannister Lagavulin 9yo","8.80","0.22","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.79","0.30","29","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Kelpie","8.78","0.17","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 9.1","8.78","0.39","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.78","0.25","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2015 Cask Strength","8.78","0.32","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (all vintages)","8.78","0.23","30","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.78","0.32","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg An Oa","8.77","0.25","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Perpetuum","8.77","0.41","19","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte Islay Barley Heavily Peated","8.76","0.18","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask (all casks)","8.75","0.43","16","$$$$","SingleMalt-like","J","J","India","Malt"
"Longrow Peated","8.75","0.20","20","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2713 (2013)","8.74","0.15","4","$$$$","SingleMalt-like","J","J","India","Malt"
"Big Peat Christmas Edition (all editions)","8.74","0.36","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster (all editions)","8.74","0.25","26","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Connemara Turf Mor","8.74","0.46","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"Kilchoman 100% Islay (all editions)","8.74","0.24","22","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Drum","8.73","0.35","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Spring 2011 Release","8.72","0.25","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2005","8.71","0.09","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2012","8.71","0.31","10","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 11yo Offerman Edition","8.71","0.38","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2017","8.71","0.28","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2015","8.69","0.16","5","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated","8.68","0.29","15","$$$$","SingleMalt-like","J","J","India","Malt"
"Bunnahabhain Toiteach A Dha","8.68","0.39","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Caol Ila Distiller's Edition (all editions)","8.68","0.36","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smogen Single Cask 4yo 20/2011","8.68","0.26","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Bruichladdich Octomore 7.4","8.67","0.60","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Triple Wood","8.67","0.35","24","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay Cask Strength","8.66","0.40","14","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.65","0.31","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Lore","8.62","0.31","22","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2016)","8.60","0.52","5","$$$$","SingleMalt-like","J","J","India","Malt"
"Bunnahabhain Toiteach","8.58","0.39","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.56","0.35","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.55","0.53","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.51","0.39","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.50","0.15","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Peat Smoke","8.49","0.30","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2010","8.46","0.86","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Finlaggan Old Reserve","8.43","0.50","16","$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay","8.40","0.35","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Cruach Mhona","8.39","0.39","9","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","8.31","0.28","30","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Santis Edition Dreifaltigkeit","7.98","1.33","7","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Tomintoul Peaty Tang","7.86","0.69","13","$$","SingleMalt-like","J","J","Scotland","Malt"
"McClelland's Islay Single Malt","7.80","0.69","9","$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig QA Cask","7.27","0.56","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Santis Edition Dreifaltigkeit / Cask Strength Peated","7.2","1.75","12","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Santis Cask Strength Peated","6.47","1.88","6","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Compass Box The General","9.22","0.28","11","$$$$$+","Scotch-like","","","Scotland","Blend"
"Black Bull 40yo","9.10","0.37","11","$$$$$+","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.93","0.41","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box The Circus","8.91","0.25","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo John's Lane","8.84","0.37","19","$$$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal Ultis","8.79","0.52","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Juveniles","8.79","0.39","3","$$$$$","Scotch-like","","","Scotland","Blend"
"Yellow Spot 12yo","8.78","0.25","21","$$$$","Scotch-like","","","Ireland","Blend"
"Writers Tears Pot Still Cask Strength","8.77","0.4","11","$$$$","Scotch-like","","","Ireland","Blend"
"The Irishman Cask Strength","8.75","0.21","6","$$$$$","Scotch-like","","","Ireland","Blend"
"Ballantine's 17yo","8.74","0.37","17","$$$$","Scotch-like","","","Scotland","Blend"
"High West Campfire","8.74","0.31","18","$$$$","Scotch-like","","","USA","Blend"
"Chivas Regal 25yo","8.68","0.25","9","$$$$$+","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism The Muse","8.67","0.62","4","$$$$$+","Scotch-like","","","Scotland","Blend"
"Grant's 18yo","8.65","0.34","6","$$$","Scotch-like","","","Scotland","Blend"
"Jameson 18yo Limited Reserve","8.65","0.26","12","$$$$$","Scotch-like","","","Ireland","Blend"
"Whyte & Mackay 30yo","8.65","0.2","4","$$$$$+","Scotch-like","","","Scotland","Blend"
"Hankey Bannister Heritage","8.63","0.34","5","$$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 21yo Partner's Reserve","8.61","0.43","6","$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo Reserve","8.61","0.24","6","$$$","Scotch-like","","","Ireland","Blend"
"Black Bull 12yo","8.60","0.33","11","$$$","Scotch-like","","","Scotland","Blend"
"Buchanan's 18yo Special Reserve Blended","8.59","0.32","7","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box The Circle","8.59","0.34","3","$$$$$+","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 12yo Regency","8.59","0.21","7","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Blue Label","8.56","0.49","22","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker 15yo Green Label","8.55","0.35","26","$$$$","Scotch-like","","","Scotland","Blend"
"Powers Three Swallow","8.54","0.42","4","$$$","Scotch-like","","","Ireland","Blend"
"Compass Box Great King St Artist's Blend","8.53","0.36","24","$$","Scotch-like","","","Scotland","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.53","0.28","12","$$$","Scotch-like","","","Ireland","Grain"
"Jameson Cooper's Croze Irish Whiskey","8.52","0.32","8","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Round Irish Whiskey","8.52","0.40","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Gold Route","8.51","0.38","9","$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Glasgow Blend","8.50","0.27","19","$$$","Scotch-like","","","Scotland","Blend"
"Powers Signature Release","8.5","0.43","9","$$$","Scotch-like","","","Ireland","Blend"
"Cutty Sark Prohibition","8.48","0.46","17","$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Gold Reserve 12yo","8.48","0.29","11","$$","Scotch-like","","","Scotland","Blend"
"Nikka 12yo Premium Blended","8.48","0.24","7","$$$$$","Scotch-like","","","Japan","Blend"
"Chivas Royal Salute 21yo","8.47","0.59","10","$$$$$","Scotch-like","","","Scotland","Blend"
"Grant's 12yo","8.47","0.44","5","$$","Scotch-like","","","Scotland","Blend"
"Ichiro's Malt & Grain World Blended","8.47","0.37","9","$$$$","Scotch-like","","","Japan","Blend"
"Compass Box Delilah's","8.45","0.30","8","$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.44","0.64","25","$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Blender's Dog Irish Whiskey","8.44","0.38","6","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Gold Reserve","8.44","0.48","11","$$$$","Scotch-like","","","Ireland","Blend"
"Té Bheag","8.43","0.31","15","$$","Scotch-like","","","Scotland","Blend"
"Writers Tears Pot Still Irish Whiskey","8.43","0.32","21","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Platinum Label","8.42","0.42","19","$$$$","Scotch-like","","","Scotland","Blend"
"Three Ships 10yo","8.42","0.41","10","$$$$","Scotch-like","","","South Africa","Blend"
"Jameson Select Reserve (Black Barrel)","8.39","0.40","20","$$","Scotch-like","","","Ireland","Blend"
"Nikka Coffey Grain","8.38","0.59","20","$$$$","Scotch-like","","","Japan","Grain"
"Blandnoch Pure Scot","8.37","0.47","6","$$$","Scotch-like","","","Scotland","Blend"
"Jameson 12yo Special Reserve","8.37","0.26","12","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Royal Route","8.37","0.30","9","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorer’s Club The Spice Road","8.37","0.49","10","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Delilah's XXV","8.36","0.70","6","$$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Signature Reserve","8.36","0.33","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker 10yo Rye Cask Finish","8.36","0.46","7","$$$","Scotch-like","","","Scotland","Blend"
"Kirin 50% Blend (Fuji Gotemba)","8.36","0.50","3","$$$$","Scotch-like","","","Japan","Blend"
"The Irishman Founder’s Reserve","8.36","0.34","9","$$","Scotch-like","","","Ireland","Blend"
"Buchanan's Master Blended","8.35","0.37","6","$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.34","0.42","20","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Affinity","8.31","0.15","3","$$$$$","Scotch-like","","","Scotland","Blend"
"Bushmills Red Bush","8.29","0.35","8","$$","Scotch-like","","","Ireland","Blend"
"Suntory Old Whisky","8.29","0.3","8","$$$","Scotch-like","","","Japan","Blend"
"Glendalough Double Barrel","8.28","0.34","8","$$","Scotch-like","","","Ireland","Grain"
"Johnnie Walker Gold Label Reserve","8.28","0.36","20","$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Bold Irish Whiskey","8.26","0.41","4","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Crested Irish Whiskey","8.26","0.39","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker 12yo Black Label","8.23","0.45","29","$$","Scotch-like","","","Scotland","Blend"
"Jameson Distiller's Safe Irish Whiskey","8.22","0.57","7","$$$$","Scotch-like","","","Ireland","Blend"
"Nikka Blended","8.22","0.54","3","$$$","Scotch-like","","","Japan","Blend"
"Compass Box Asyla","8.21","0.43","15","$$$","Scotch-like","","","Scotland","Blend"
"Lohin McKinnon Barley and Rye Lightly Peated","8.17","0.23","3","$$$","Scotch-like","","","Canada","Blend"
"Black Bottle (pre-2013)","8.16","0.50","16","$$","Scotch-like","","","Scotland","Blend"
"Shelter Point Montfort Lot 141 Reserve","8.15","0.61","4","$$$","Scotch-like","","","Canada","Blend"
"Chivas Regal 18yo","8.13","0.58","19","$$$$","Scotch-like","","","Scotland","Blend"
"The Irishman Original Clan Irish Whiskey","8.13","0.25","4","$$","Scotch-like","","","Ireland","Blend"
"Kilbeggan 8yo Single Grain (Greenore)","8.12","0.40","12","$$","Scotch-like","","","Ireland","Grain"
"Bain's Cape Mountain Whisky","8.11","0.49","10","$$","Scotch-like","","","South Africa","Grain"
"Bank Note 5yo Blended Scotch","8.10","0.66","5","$","Scotch-like","","","Scotland","Blend"
"Nikka Super Nikka","8.10","0.50","10","$$$","Scotch-like","","","Japan","Blend"
"Powers Gold Label","8.1","0.45","14","$$","Scotch-like","","","Ireland","Blend"
"Suntory The Chita Single Grain","8.1","0.46","9","$$$","Scotch-like","","","Japan","Blend"
"Teeling Poitin","8.1","0.26","5","$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal Mizunara","8.09","0.58","8","$$$","Scotch-like","","","Scotland","Blend"
"Famous Jubilee","8.08","0.20","3","$$","Scotch-like","","","Scotland","Blend"
"Buchanan's Red Seal Blended","8.06","1.19","5","$$$$$","Scotch-like","","","Scotland","Blend"
"Tullamore Dew Special Reserve 12yo","8.06","0.32","10","$$$","Scotch-like","","","Ireland","Blend"
"Jameson Caskmates Stout Edition","8.05","0.61","12","$$","Scotch-like","","","Ireland","Blend"
"Nikka Days","8.05","0.41","5","$$$","Scotch-like","","","Japan","Blend"
"Whyte & Mackay 13yo","8.05","0.57","5","$$$$","Scotch-like","","","Scotland","Blend"
"Buchanan's 12yo Deluxe Blended","8.04","0.35","10","$$","Scotch-like","","","Scotland","Blend"
"Cutty Sark Storm","8.03","0.47","8","$","Scotch-like","","","Scotland","Blend"
"Three Ships 5yo","8.03","0.52","9","$","Scotch-like","","","South Africa","Blend"
"Yamazakura 16yo Blended Whisky","8.01","0.66","3","$$$$$","Scotch-like","","","Japan","Blend"
"Catto's Rare Old","7.99","0.68","5","$","Scotch-like","","","Scotland","Blend"
"Kakubin Yellow Label (Suntory Whisky)","7.98","0.84","5","$$","Scotch-like","","","Japan","Blend"
"Grant's Blended Sherry Cask","7.97","0.19","6","$","Scotch-like","","","Scotland","Blend"
"Catto's 12yo","7.96","0.16","5","$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Smoky Black (Black Grouse)","7.95","0.47","21","$$","Scotch-like","","","Scotland","Blend"
"Suntory Toki","7.94","0.67","17","$$$","Scotch-like","","","Japan","Blend"
"Black Bottle (after 2013 re-launch)","7.93","0.48","16","$$","Scotch-like","","","Scotland","Blend"
"West Cork Original Bourbon Cask","7.92","0.61","7","$$","Scotch-like","","","Ireland","Blend"
"Islay Mist 8yo","7.88","0.48","9","$","Scotch-like","","","Scotland","Blend"
"Grand Macnish","7.86","0.45","8","$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister Original","7.85","0.33","6","$","Scotch-like","","","Scotland","Blend"
"Dewar's 12yo","7.84","0.50","16","$$","Scotch-like","","","Scotland","Blend"
"Teacher's Highland Cream","7.84","0.76","12","$","Scotch-like","","","Scotland","Blend"
"Highland Queen","7.82","0.55","3","$","Scotch-like","","","Scotland","Blend"
"Jameson Lively Irish Whiskey","7.82","0.50","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Adventurer","7.82","0.10","3","$$","Scotch-like","","","Scotland","Blend"
"Jameson Irish Whiskey","7.80","0.45","24","$$","Scotch-like","","","Ireland","Blend"
"Tullamore Dew Original Blended","7.79","0.39","23","$$","Scotch-like","","","Ireland","Blend"
"2 Gingers Irish Whiskey","7.77","0.54","4","$$","Scotch-like","","","Ireland","Blend"
"Grant's Family Reserve Blended","7.72","0.64","16","$","Scotch-like","","","Scotland","Blend"
"John Barr Reserve (Black Label)","7.72","0.57","7","$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 12yo","7.70","0.47","26","$$","Scotch-like","","","Scotland","Blend"
"Bushmills Original Blended","7.67","0.47","19","$$","Scotch-like","","","Ireland","Blend"
"The Quiet Man Traditional Irish Whiskey","7.64","1.03","9","$$","Scotch-like","","","Ireland","Blend"
"Whyte & Mackay Special Blended","7.63","0.38","7","$","Scotch-like","","","Scotland","Blend"
"Compass Box Orangerie","7.59","1.06","10","$$","Scotch-like","","","Scotland","Blend"
"Ballantine's Finest","7.57","0.62","12","$","Scotch-like","","","Scotland","Blend"
"Cutty Sark","7.57","0.55","17","$","Scotch-like","","","Scotland","Blend"
"Famous Grouse","7.55","0.63","22","$","Scotch-like","","","Scotland","Blend"
"Bell's Original Scotch Whisky","7.54","0.65","9","$","Scotch-like","","","Scotland","Blend"
"Mackmyra Vit Hund","7.54","0.64","3","$$$","Scotch-like","","","Sweden","Malt"
"Johnnie Walker White Walker (Game of Thrones)","7.49","0.74","13","$$","Scotch-like","","","Scotland","Blend"
"Dewar's White Label","7.40","0.81","18","$$","Scotch-like","","","Scotland","Blend"
"White Oak Akashi Blended","7.37","0.79","11","$$$","Scotch-like","","","Japan","Blend"
"Johnnie Walker Red Label","7.31","0.62","27","$","Scotch-like","","","Scotland","Blend"
"P&M Blended Whisky","7.29","1.09","5","$","Scotch-like","","","France","Blend"
"Passport Blended Scotch","7.27","1.08","8","$","Scotch-like","","","Scotland","Blend"
"Whyte & Mackay Blended Triple Matured","7.23","0.91","3","$","Scotch-like","","","Scotland","Blend"
